rfootrx,rfootrz,rtibiarx,Left GRF,Right GRF,OSL_phase
-0.5065536,0.1095659,1.095322,83.79325,0,0
-0.5154859,0.1082015,1.099229,83.59785,0,0
-0.522655,0.1068729,1.10304,85.18803,0,0
-0.5302614,0.1058159,1.103513,84.7005,0,1
-0.5374027,0.1045428,1.103508,85.26105,0,1
-0.5438823,0.1037361,1.100195,84.16347,0,1
-0.5506958,0.1024894,1.095967,83.57276,0,1
-0.5559211,0.1018287,1.088575,81.42513,0,1
-0.5620866,0.1006435,1.079867,79.71397,0,1
-0.5657603,0.099957,1.068265,76.92904,0,1
-0.5709279,0.09889657,1.055056,74.89193,0,1
-0.5729871,0.09814768,1.039146,73.6842,0,1
-0.5770058,0.09727839,1.021486,72.49347,0,1
-0.5775033,0.09655236,1.001193,75.09343,0,1
-0.5804082,0.09593593,0.9792033,74.27602,0,1
-0.5794054,0.09514841,0.9547845,92.21589,0,1
-0.5814075,0.09482574,0.9291664,91.0819,0,1
-0.5786613,0.09430753,0.9014801,96.67678,0,1
-0.5798069,0.0943794,0.8728578,94.52478,0,1
-0.5753416,0.0943213,0.8425765,119.0498,0,1
-0.5740891,0.09487182,0.8115264,115.6952,0,2
-0.567947,0.09528533,0.7794747,120.3885,0,2
-0.5664495,0.09629752,0.7469363,116.9627,0,2
-0.5594413,0.09704506,0.714197,151.1751,0,2
-0.5576435,0.09837902,0.6814156,147.1806,0,2
-0.5501249,0.09923746,0.6491449,151.9036,0,2
-0.5481477,0.1006492,0.6173418,148.2171,0,2
-0.5405847,0.1012406,0.5867622,152.37,0,2
-0.5385528,0.1023906,0.5570929,148.6106,0,2
-0.5311239,0.102324,0.5292172,151.4566,0,2
-0.5286667,0.1027935,0.5026552,147.6333,0,2
-0.5206259,0.1014563,0.4783065,148.5718,0,2
-0.5172548,0.1010985,0.4556729,144.4278,0,2
-0.5080832,0.09869838,0.4353449,142.9852,0,2
-0.5034308,0.09759259,0.4169427,138.5124,0,2
-0.4925452,0.09385918,0.4007198,179.4232,0,2
-0.4863194,0.09183542,0.3866634,173.2704,0,2
-0.4731913,0.08684885,0.3742816,164.1048,0,3
-0.4651307,0.0837933,0.3641873,157.7872,0,3
-0.4496917,0.07756902,0.3550956,144.8846,0,3
-0.4398271,0.07342872,0.3484137,138.4464,0,3
-0.4217564,0.06614147,0.3420321,123.3483,0,3
-0.410276,0.06102406,0.3382422,117.3122,0,3
-0.3948181,0.05390535,0.3357168,105.2726,5.461814,3
-0.3757672,0.04855188,0.3406332,104.277,119.2249,3
-0.325537,0.04391897,0.3595176,82.51837,619.3339,3
-0.3001478,0.04039831,0.3920084,79.05319,576.421,3
-0.2999234,0.03549293,0.412466,60.82615,183.4222,3
-0.2902327,0.03047474,0.4249283,52.49701,184.6423,3
-0.2788385,0.02748534,0.4398238,43.89591,335.4765,3
-0.2714191,0.0246949,0.45621,36.57838,334.3569,3
-0.2695189,0.02332886,0.4705063,38.283,291.3327,3
-0.2673014,0.02155532,0.4827436,17.04603,283.1994,3
-0.266877,0.0212239,0.4946217,15.11119,318.0587,3
-0.2711532,0.02026763,0.5056815,8.560102,153.8251,0
-0.2767981,0.01997601,0.5155855,16.82324,157.5647,0
-0.2856321,0.01852641,0.5239938,18.0452,88.37051,0
-0.297899,0.01715865,0.532529,35.27836,97.77698,0
-0.3117352,0.01557705,0.5388804,26.262,90.428,0
-0.3256922,0.01450066,0.5450841,21.3678,96.97645,0
-0.3385742,0.0137123,0.5485908,8.893443,88.69871,0
-0.3502197,0.01320667,0.5520554,11.11424,96.33588,0
