
Joints
100
,,DanielDay01:World_Torso,,,,,,DanielDay01:Torso_Pelvis,,,DanielDay01:Pelvis_R.Thigh,,,DanielDay01:R.Thigh_R.Shank,,,DanielDay01:R.Shank_R.Foot,,,DanielDay01:Pelvis_L.Thigh,,,DanielDay01:L.Thigh_L.Shank,,,DanielDay01:L.Shank_L.Foot,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
396,0,25.3493,-7.57219,92.1541,128.504,1226.98,1612.9,15.3318,-1.60407,-9.74934,0.98934,-16.8406,9.03801,1.05707,6.50098,-6.30328,2.66846,-1.41063,4.0276,-15.3919,-39.503,-3.98476,2.48791,12.572,0.766442,0.587297,-3.02057,-0.239265
397,0,25.2892,-7.43105,91.8589,129.953,1210.05,1613.02,15.6873,-1.56444,-10.1601,1.51482,-17.4864,8.99107,1.30761,5.80359,-6.48573,2.65526,-1.21715,3.63073,-15.2435,-38.3484,-3.88935,2.17147,12.4221,1.76223,0.454419,-2.87891,-0.323832
398,0,25.2503,-7.26678,91.5565,131.627,1192.93,1613.39,15.9185,-1.64265,-10.4936,1.8922,-18.0311,9.031,1.5747,4.99688,-6.853,2.84269,-0.854407,3.01564,-15.0091,-37.1395,-3.86692,1.88565,12.2098,3.08225,0.448694,-2.7509,-0.308925
399,0,25.2328,-7.07285,91.2363,133.61,1175.69,1613.98,15.962,-1.84778,-10.7524,2.19988,-18.2583,8.68056,1.78195,4.09052,-7.24753,3.35477,-0.289021,2.2478,-14.7612,-35.9572,-3.89284,1.66822,12.0923,4.17037,0.390635,-2.65883,-0.342808
400,0,25.2662,-6.86751,90.8925,135.873,1158.15,1614.76,15.6949,-2.21569,-10.9343,2.34699,-18.1707,8.29684,1.93316,2.96984,-7.76797,3.98582,0.45946,1.46927,-14.6339,-34.982,-3.8818,1.53045,12.1374,4.01481,0.298771,-2.03701,-1.59725
401,0,25.3526,-6.64346,90.5143,138.347,1140.44,1615.72,15.1668,-2.64019,-11.0344,2.44002,-17.7228,7.59239,2.0104,1.53186,-8.01068,4.61414,1.46411,0.507184,-14.6182,-34.0632,-3.7534,1.75281,12.1746,3.17222,0.165446,-0.43549,-1.73793
402,0,25.5711,-6.41174,90.0877,141.132,1122.46,1616.68,14.3867,-2.92376,-11.1302,2.61288,-16.8898,6.49197,2.11417,-0.285953,-8.0439,5.42767,2.70104,-0.517442,-14.5399,-33.0438,-3.76857,1.79417,12.0729,2.48919,0.0273457,0.866075,-1.94781
403,0,25.8874,-6.14682,89.6268,143.965,1104.5,1617.91,13.3475,-3.05919,-11.243,2.81294,-15.6588,5.0276,2.45565,-2.50814,-7.94015,6.45844,4.22625,-1.75187,-14.3032,-31.8088,-4.16249,1.52745,11.7887,2.1826,-0.199363,1.76719,-2.12508
404,0,26.3049,-5.84796,89.1029,146.676,1086.2,1619.74,12.0054,-3.06352,-11.4606,3.09833,-13.9869,3.48138,2.87739,-5.3247,-7.43609,7.10853,6.08096,-2.84971,-14.0303,-30.3555,-5.05023,1.14229,11.2774,2.28539,-0.198446,2.1929,-2.27458
405,0,26.8053,-5.53833,88.6088,149.131,1067.78,1621.82,10.5111,-2.85686,-11.6986,3.39289,-12.0529,2.01554,3.40184,-8.68721,-6.9099,7.4231,8.15014,-3.70234,-13.7868,-28.5866,-6.14282,0.824393,10.4834,2.68944,0.151414,2.2467,-2.23939
406,0,27.3519,-5.27411,88.1949,151.281,1049.45,1623.88,8.92724,-2.52102,-11.8268,3.62304,-9.78317,0.624239,4.00949,-12.7315,-6.21512,7.30387,10.2726,-3.50595,-13.5414,-26.751,-6.96026,0.45791,9.62156,2.79037,0.536405,2.05942,-2.1271
407,0,27.9054,-5.02642,87.909,153.399,1031.45,1625.64,7.41901,-2.06388,-11.7862,3.69594,-7.4451,-0.503647,4.77878,-17.2473,-5.73713,6.91267,12.2637,-2.83562,-13.2656,-24.8328,-7.00517,0.0997496,8.71401,2.04167,0.909095,1.80315,-2.08005
408,0,28.4859,-4.80999,87.7804,155.507,1013.84,1627.21,5.86988,-1.64946,-11.5797,3.51846,-4.73903,-1.71119,5.74955,-22.1479,-5.13751,6.28009,13.8713,-2.52884,-12.9683,-23.1026,-6.68292,-0.117908,7.90712,0.572506,1.24333,1.55413,-1.98814
409,0,29.0635,-4.5995,87.7101,157.522,996.385,1628.59,4.28338,-1.28449,-11.2646,3.0501,-1.88701,-2.81948,7.04828,-27.0919,-4.81402,5.62583,14.8886,-2.25184,-12.6002,-21.4103,-6.22158,-0.239895,7.05855,-1.16401,1.50542,1.37658,-1.95198
410,0,29.6105,-4.39909,87.7141,159.293,979.146,1629.77,2.62596,-0.997281,-10.7923,2.29783,0.76159,-3.73661,8.27549,-31.6299,-4.73884,4.85184,15.9216,-1.67144,-12.0916,-19.5362,-6.27954,-0.249364,5.97292,-2.52966,1.70572,1.31017,-1.95822
411,0,30.1344,-4.24909,87.7342,160.75,961.987,1630.73,0.968641,-0.76609,-10.1688,1.25294,3.19563,-4.42682,9.56051,-35.6349,-4.85404,4.00051,17.0772,-0.45329,-11.3787,-17.5051,-6.98392,-0.274005,4.69568,-3.21878,1.78637,1.34239,-2.00193
412,0,30.6437,-4.13718,87.8122,161.964,945.016,1631.71,-0.798726,-0.660654,-9.43436,0.04436,5.385,-4.68299,10.6686,-39.3801,-5.65072,3.53183,16.593,-0.125162,-10.6259,-15.5775,-8.51541,-0.149018,3.55329,-3.34222,1.73086,1.47979,-2.06188
413,0,31.1421,-4.08809,87.9347,162.932,928.174,1632.93,-2.62702,-0.623267,-8.53644,-1.21467,7.69404,-5.74014,11.7687,-42.5081,-5.81766,2.82293,15.5281,0.437553,-9.86956,-13.8211,-10.3659,0.194128,2.65273,-3.01912,1.76017,1.67918,-2.04355
414,0,31.5902,-4.10057,88.1435,163.843,911.621,1634.65,-4.2553,-0.640325,-7.53281,-2.40389,9.67001,-6.28341,12.4148,-45.0711,-6.43537,2.20211,14.3532,1.50642,-9.06935,-12.1484,-12.2591,0.621604,1.9283,-2.58257,1.74505,1.86505,-1.96438
415,0,31.9948,-4.12533,88.3977,164.668,895.357,1637.03,-5.68155,-0.70185,-6.57689,-3.45916,11.5166,-6.71124,13.053,-46.9834,-7.39292,1.78586,13.0096,2.12773,-8.21409,-10.5222,-14.2591,0.978942,1.26078,-1.71345,1.83884,1.92781,-1.72751
416,0,32.4707,-4.18125,88.7683,165.485,879.933,1638.74,-7.02714,-0.509781,-5.49911,-4.3612,13.0996,-7.52298,13.5399,-48.3245,-8.1468,1.44864,11.5532,2.55949,-7.37475,-8.97338,-16.0744,1.32282,1.0031,-1.12055,1.87826,1.92609,-1.59086
417,0,32.7898,-4.20727,89.1153,166.086,864.545,1640.99,-7.88667,-0.34721,-4.58872,-5.15338,14.3723,-7.79333,14.0521,-49.249,-8.92209,1.24707,9.99189,2.97187,-6.45372,-7.13902,-17.1926,1.45611,0.321484,-0.535441,1.97622,1.79125,-1.40499
418,0,33.0988,-4.20652,89.5416,166.706,849.439,1642.84,-8.52389,-0.119481,-3.70262,-5.92864,15.379,-7.84087,14.3755,-49.7621,-9.62165,1.07225,8.41035,3.55455,-5.43431,-5.31437,-17.9959,1.42432,-0.248489,-0.10289,2.08874,1.67601,-1.29466
419,0,33.4132,-4.23957,89.9242,166.997,834.197,1644.51,-9.10879,0.079929,-2.87624,-6.72485,16.57,-7.90037,14.8197,-50.0762,-10.051,0.888561,6.84063,4.1857,-4.38737,-3.74116,-18.6654,1.28461,-0.639846,0.183089,2.1846,1.58842,-1.20412
420,0,33.7602,-4.23545,90.3575,167.189,819.141,1645.88,-9.63306,0.271771,-2.12537,-7.49643,17.7067,-7.86493,15.0129,-50.0578,-10.34,0.579353,5.3185,4.85805,-3.3165,-2.47873,-19.1676,1.07266,-0.691429,0.167819,2.19817,1.55345,-1.15795
421,0,34.1104,-4.24237,90.8115,167.288,804.261,1647.03,-10.041,0.45508,-1.41065,-8.28424,18.9773,-8.0289,15.4061,-49.76,-10.3521,0.298751,3.92236,5.37331,-2.26411,-1.44027,-19.5468,0.820607,-0.485201,0.0133917,2.1378,1.55787,-1.11806
422,0,34.4479,-4.25049,91.314,167.211,789.657,1647.96,-10.3495,0.662546,-0.718148,-8.96834,20.1268,-8.13378,15.5335,-49.1844,-10.2191,-0.143747,2.70497,5.80659,-1.26385,-0.539975,-19.6998,0.614702,-0.110136,-0.234561,2.18963,1.56816,-1.10972
423,0,34.7772,-4.30062,91.8845,167.119,775.254,1648.83,-10.4799,0.868932,-0.0641671,-9.53593,21.2554,-8.14964,15.6402,-48.3078,-10.1279,-0.458677,1.71445,6.1695,-0.415002,0.0971444,-19.4593,0.520071,0.49325,-0.804759,2.20752,1.56151,-1.0313
424,0,35.1301,-4.3702,92.4632,166.913,760.797,1649.63,-10.6503,1.01944,0.53953,-10.0176,22.4795,-8.21632,15.6852,-47.1493,-10.0132,-0.629834,0.988589,6.48763,0.362194,0.498757,-19.6155,0.422277,1.39685,-1.11116,2.1851,1.59403,-0.961601
425,0,35.4154,-4.46999,93.0734,166.747,746.405,1650.52,-10.6134,1.09935,1.08767,-10.4515,23.6624,-8.18261,15.6551,-45.7976,-9.59964,-0.817754,0.662531,6.75093,1.0402,0.805513,-19.4836,0.368783,2.31613,-1.45746,2.16657,1.59233,-0.907671
426,0,35.6706,-4.60979,93.7244,166.522,731.984,1651.38,-10.4247,1.12894,1.59127,-10.793,24.7624,-8.03889,15.3865,-44.2396,-8.87329,-1.00265,0.56763,6.99212,1.62535,0.8197,-18.8896,0.392607,3.42524,-2.11123,2.22835,1.61917,-0.77842
427,0,35.928,-4.76357,94.4096,166.366,717.582,1652.11,-10.1729,1.09421,2.00988,-11.0442,25.8444,-7.69264,14.9264,-42.4987,-8.09016,-1.12678,0.669077,7.3602,2.15689,0.754377,-18.735,0.296324,4.67902,-2.53109,2.09341,1.66615,-0.801425
428,0,36.1413,-4.91714,95.0552,166.062,703.173,1652.64,-9.86452,1.05162,2.36766,-11.1874,26.6857,-7.0865,14.2394,-40.4879,-7.31397,-1.09925,0.892285,7.58975,2.60876,0.692163,-18.2678,0.326127,5.79671,-2.87522,2.16293,1.69042,-0.708564
429,0,36.3157,-5.06502,95.6873,165.623,688.841,1652.98,-9.49346,1.00905,2.64874,-11.2377,27.3079,-6.35438,13.4159,-38.1806,-6.45549,-0.963588,0.983861,7.65116,2.99178,0.52956,-17.2782,0.365377,6.91565,-4.01591,1.92306,1.67144,-0.721364
430,0,36.4384,-5.16142,96.2356,165.081,674.522,1653.31,-9.1987,0.909638,2.81172,-11.1575,27.7492,-5.50212,12.3645,-35.589,-5.59069,-0.74599,0.921824,7.46524,3.32338,0.478296,-16.5255,0.491079,7.83287,-4.48537,2.05972,1.66412,-0.604203
431,0,36.5305,-5.207,96.6883,164.477,660.084,1653.52,-9.02105,0.755026,2.85208,-10.9855,28.1345,-4.7187,11.2323,-32.7972,-4.59327,-0.443744,0.867317,7.31912,3.66746,0.491555,-16.0382,0.494767,8.64849,-4.92119,2.04198,1.67257,-0.484023
432,0,36.5464,-5.22146,97.0176,163.608,645.537,1653.55,-8.86902,0.600961,2.78401,-10.6943,28.3432,-3.76255,10.1267,-29.7699,-3.94765,0.0713833,0.8083,6.73477,3.91502,0.649265,-15.3494,0.627018,9.23726,-5.31235,2.15483,1.64188,-0.392513
433,0,36.5335,-5.16912,97.2387,162.5,631.026,1653.37,-8.87423,0.406955,2.60523,-10.316,28.5426,-2.85914,8.99155,-26.6544,-3.341,0.604753,0.873515,5.91671,4.17885,0.786958,-15.099,0.585388,9.95275,-5.51852,2.11232,1.66026,-0.369472
434,0,36.494,-5.10567,97.3939,161.188,616.457,1652.91,-8.92294,0.205086,2.3712,-9.86536,28.7508,-1.96349,7.9224,-23.5429,-2.95322,1.16108,1.03743,4.94338,4.43688,1.03923,-15.1786,0.435494,10.6223,-5.39887,2.05575,1.68484,-0.391196
435,0,36.3975,-5.05069,97.5041,159.578,601.717,1652.28,-8.9476,-0.0291893,2.13585,-9.41021,28.9334,-1.04639,6.91608,-20.4787,-2.67687,1.63361,1.18125,3.99917,4.67949,1.33936,-15.2169,0.30951,11.2817,-5.20813,1.99619,1.74159,-0.377595
